label	texto
neg	que majos mis compis de verti que me ponen a los who en el trabajo 
neg	wow verti refresco en mi taza de cafe el sprite con sabor a cafeina no esta mal . okno
neg	rariasg venga vaaaaaa nos lo pensaremos de momento la del 50% se amplia al mes de febrero.
neg	rmmoreno ya estamos en el mercado nos tienes online en web facebook y twitter por donde nos has encontrado. en el resto pronto.
neg	le he dado una oportunidad a verti .es con el seguro de mi coche  me parece una apuesta revolucionaria de mapfre espero no me defrauden
neg	le he dado una oportunidad a verti .es con el seguro de mi coche me parece una apuesta revolucionaria de mapfre espero no me defrauden
neg	vertiseguros nada espero que esteis ahi cuando lo necesite saludos
neg	rt gatasaba dgalleguillos es el problema de haberse desvinculado de otras disciplinas como la historia. el prob es que domina la verti 
neg	vertiseguros de momento info en grupo de mkt asegurador en linkedin unete y sigues el tema y debates
neg	vertiseguros dos opciones 1 - el tipico carton en el parabrisas prevenir 2 - restregar una patata por el cristal dicen que funciona 
neg	vertiseguros buen planteamiento pero con la sentencia no lo veo posible 
neg	vertiseguros que paso con la pagina de facebook que anunciaron
neg	vertiseguros muy buen el anuncio un tema si entro en vuestra web y voy al a zona de calcular precio despues ya no puedo volver a la web
neg	que mal rollo me da el anuncio de verti 
neg	la cancion del anuncio de verti seguros mapfre mola. me recuerda al pop de los fresones rebeldes 
neg	ferranba nos da error tu enlace. a que te refieres
neg	siguiendo con jingles el de verti seguros esta entre lo que mola y el mal royo total 
neg	os habeis dado cuenta del parecido del logo de verti  la aseguradora que ahora da tanto mal  con el de cingular 
neg	cada vez que veo el anuncio de verti seguros en television me pregunto pero quien es ese grupo que suena tan de puta madre
neg	pipiloka buenos dias que es lo que no te cuadra que no seamos la tipica aseguradora aburrida y tengamos ganas de hacer cosas diferentes
neg	el anuncio de verti otra vez noooooo que me da mal royo cuando estan dormidos y ademas se me pega la cancion .<
neg	echar un vistazo a este video -- anuncio verti seguros despierta marzo 2011 . youtube.com/watchv=nae39i qgwrs via youtube lastima que sea de seguros
neg	mira hoy por lo menos empiezo el dia muriendose de risa ayer digo q el anuncio de verti es un poco malo pero q la musica no esta mal cont
neg	javinoga alejandroowen mmartin3 seguros verti va como la seda pronto cambiaremos el error de imprenta q es tb demuchoscojones
neg	alecrespillo ideal para cargar energias un viernes de cara al fin de semana 
neg	alguien sabe como se llama la cancion del anuncio de verti seguros   . brutal
neg	no se parecen demasiado los logos de verti seguros  y starmax encima al salir - a la vez y del mismo color fail
neg	primera parte del anuncio de verti  mal rollito 
neg	primera parte del anuncio de verti mal rollito 
neg	muy fructifera la presentacion de ayer en vertiseguros por parte de alumnos del pasado curso piloto 
neg	vertiseguros no he pedido explicacion de una por una. solo una
neg	vertiseguros es el comienzo de esta . sera una nana no lo dudo pero el principio es algo malefico xd
neg	de quien es la cancion del anuncio de verti  los seguros ese que salen todos sobaos y luego empiezan a bailar como locos
neg	miralos que guapos y que tiernos no saben que han estado ciegos.mirales que monos dormiditos no entienden lo q se han perdido. verti seguros
neg	silviaa418 tampoco es para tanto es solo un anuncio 
neg	vertiseguros que ha pasado con vuestra pagina de facebook no se puede acceder en 
neg	verti  publicidad masiva presentando una nueva forma de hacer seguros . ypara contactar ponen un 902. pemio para la innovacion en el rechazo
neg	ue immigrazioni problema comune frattini e una questione politica la ue deve comprendere. maroni al verti  
neg	el lema de verti es despierta. me despiertan a mi para endilgarme un seguro y los que van a necesitar polizas son ellos 
neg	ferendus meriemnfs pues extender la fiebre 
neg	blogdebori jooo tampoco es para tanto. eres de los que tienes mal despertar
neg	vertiseguros eso espero 
neg	vertiseguros esta restringida para algun pais
neg	puigcerber no esta restringida a menos que facebook lo haga. si es raro que te haga eso.
