username|date|retweets|favorites|text|geo|mentions|hashtags|id|permalink
LudmilaaPonce|2017-07-28 01:51|0|3|"Quien es la peor amiga de todo el mundo que se va justo para el finde de mi cumple? Y encima este find no sale? Si señores, sofi verti"||||"890721247214096384"|https://twitter.com/LudmilaaPonce/status/890721247214096384
SiluroGomes|2017-06-15 11:55|3|0|"Creo que el anuncio de Verti de Spotify es el peor que he tenido que sufrir con diferencia. En serio, qué asco dais @SpotifySpain"||@SpotifySpain||"875290616900571137"|https://twitter.com/SiluroGomes/status/875290616900571137
anikasuarez|2017-04-11 11:52|0|1|"Se puede tener peor dia por culpa de tener un seguro de mierda... @vertiseguros #verti espero que el que pueda salir de ahi lo haga rapido"||@vertiseguros|#verti|"851734607330410497"|https://twitter.com/anikasuarez/status/851734607330410497
CuriosaImperti1|2016-11-17 22:31|0|2|"El anuncio de los cabezones de Verti me parece lo peor #FirstDates185"|||#FirstDates185|"799364471177224192"|https://twitter.com/CuriosaImperti1/status/799364471177224192
Romana40|2016-11-14 22:29|0|0|"Los anuncios de publicidad de Verti son de lo peor que he visto en mi vida. Todos. No se salva ni uno. Madre mía, quien es el creativo?"||||"798276809183870976"|https://twitter.com/Romana40/status/798276809183870976
juani_verti|2016-10-13 01:30|0|0|"Me gustó un video de @YouTube de @mrgoorgo http:// youtu.be/FCHr02LvO54?a ME TIRAN UNA NUCLEAR EN EL PEOR CALL OF DUTY"||@YouTube @mrgoorgo||"786348252379701248"|https://twitter.com/juani_verti/status/786348252379701248
morilesarroyo|2016-10-07 12:29|0|0|"@verti el peor seguro que detenido en 50años es perder el dinero"||@verti||"784339802103480320"|https://twitter.com/morilesarroyo/status/784339802103480320
rgarcia76|2016-08-31 16:38|0|0|"son Lo peor , yo ya no renuevo el seguro de la casa con ellos. Prueba verti funcionan genial y es mapfre"||||"770994076321808384"|https://twitter.com/rgarcia76/status/770994076321808384
Mussollinni|2016-07-09 04:18|0|1|": Tú eres la miserable. Además, solo vertí la opinión de que Marín le dió una repasada a Hernández. Y lo exhibió en @Televisa . Peor ."||@Televisa||"751601347535917056"|https://twitter.com/Mussollinni/status/751601347535917056
DaniEsparzaa|2016-07-02 16:47|0|0|"Que en paz descanse don Vertí !! La gente ya no tiene piedad por nadie! No les deseo él mal, pero merecen lo peor !!"||||"749253093603307520"|https://twitter.com/DaniEsparzaa/status/749253093603307520
JosefinaLoza15|2016-01-04 01:45|0|1|"@juanmacarrazana NOOOO, no existe mina mas atorada que esa, y yo que pensaba que la Verti era peor !"||@juanmacarrazana||"683811447768530944"|https://twitter.com/JosefinaLoza15/status/683811447768530944
letdos|2015-09-21 13:35|1|1|"¿Donde NO asegurar tu coche? En #verti @vertiseguros LA PEOR EXPERIENCIA DE MI VIDA #cliente #nolouses #desatres #NuncaMas"||@vertiseguros|#verti #cliente #nolouses #desatres #NuncaMas|"645924226034216960"|https://twitter.com/letdos/status/645924226034216960
Exe_Cortes77|2015-09-03 06:57|0|0|"Vega baila sólo hace 3 horas. Peor que Verti esta"||||"639301213071273984"|https://twitter.com/Exe_Cortes77/status/639301213071273984
ChelsyInterian|2015-07-06 17:52|0|2|"Ayer por la mañana tome un tazón, serví cereal en el y cuando vertí la leche me di cuenta de que estaba un poco podrida. Fue lo peor"||||"618085119606157312"|https://twitter.com/ChelsyInterian/status/618085119606157312
minisilvina2|2015-06-07 00:29|0|1|"@EL_Vertiginoso el olor a tabaco en el cabello y ropa de una mujer...es lo peor !!! Lejos, Verti en esta estoy con vos!!"||@EL_Vertiginoso||"607313486432112640"|https://twitter.com/minisilvina2/status/607313486432112640
noeliahideko|2015-03-12 14:46|2|1|"Tenéis la peor comunicación con el cliente que he visto jamás. ¿A eso lo llamáis "Compromiso Verti " verdad? @vertiseguros"||@vertiseguros||"576016292290920448"|https://twitter.com/noeliahideko/status/576016292290920448
alba21rr|2015-01-28 20:49|0|0|"Lo peor son los anuncios de Verti del espotify, dios"||||"560525010948075521"|https://twitter.com/alba21rr/status/560525010948075521
AridaniGP|2014-12-31 11:50|2|2|"#segurosverti_ladrones UN CONSEJO NUNCA CONTRATEN SEGUROS VERTI , ES COMPLICARSE LA VIDA Y LO PEOR Q PUEDES HACER"|||#segurosverti_ladrones|"550242547986354176"|https://twitter.com/AridaniGP/status/550242547986354176
luisogumbaso|2014-12-08 20:12|0|0|"mcs que riman peor que los anuncios de verti me incluyo xD"||||"542033926450343936"|https://twitter.com/luisogumbaso/status/542033926450343936
FacuMilla|2014-10-20 16:58|0|0|"Mira que verti era un hijo de mil puta raggio pero vos sos peor hijo de puta q el viejo"||||"524213016079110144"|https://twitter.com/FacuMilla/status/524213016079110144
walkirior|2014-10-19 22:46|0|0|"@vertiseguros Verti para mi la peor compañía de seguros que he tenido.Lo barato al final sale caro. Compañía muy poco recomendable."||@vertiseguros||"523938189753737216"|https://twitter.com/walkirior/status/523938189753737216
DrSoxion|2014-09-29 21:26|0|0|"Lo peor es que ninguno de vosotros sabe el sudor, sangre y lágrimas que vertí en Black Knight Sword para llegar al final."||||"516670339305443329"|https://twitter.com/DrSoxion/status/516670339305443329
actinglikeadumb|2014-09-19 02:43|0|1|"@_ElmerGutierrez esa es mas paquete q darlene,hasta natali verti le gano en un circuito,tiene peor reisitencia q yamila,con eso te digo todo"||@_ElmerGutierrez||"512763830653288449"|https://twitter.com/actinglikeadumb/status/512763830653288449
terryhus|2014-08-19 16:24|0|0|"Sacast lo peor d mi ; y te lo al verti ahora aguantat ok pic.twitter.com/wvjdIIKZL9"||||"501736477047668736"|https://twitter.com/terryhus/status/501736477047668736
MLeicker|2014-08-14 01:02|0|0|"Puse a hervir agua para la chocolatada. Lo peor de todo es que Vertí el agua en el chocolino. Solo yo tomo chocolatada de agua, sí"||||"499692451335270402"|https://twitter.com/MLeicker/status/499692451335270402
lauracarolinahh|2014-06-10 18:56|0|1|"Quiero contar una anécdota y que todo el SRE se entere, p.e. que a falta de leche, vertí Yakult a mi cereal y fue el peor error de mi vida."||||"476407646111539201"|https://twitter.com/lauracarolinahh/status/476407646111539201
o_verti|2014-05-18 23:54|0|0|"@JALobeira Si eso fue un intento de venganza o algo de hacerme pagar pues eso fue un acto peor que infantilismo y esta demasiado lejos ser.."||@JALobeira||"468147736391348225"|https://twitter.com/o_verti/status/468147736391348225
David_Blasster|2014-05-14 07:03|0|0|"Acabo de realizar el peor error de mi vida, verti la leche antes que el cereal. :("||||"466443684863832064"|https://twitter.com/David_Blasster/status/466443684863832064
_DamianED|2014-04-26 07:00|0|0|"No puedo ser tan Gil , soy igual a mi viejo me co verti en la peor basura!!"||||"459919804053217280"|https://twitter.com/_DamianED/status/459919804053217280
beitamei|2014-04-21 00:23|0|0|"¿Hay algo peor que los anuncios de compañías de seguros? Telita con el de Verti ..."||||"458008181768458240"|https://twitter.com/beitamei/status/458008181768458240
o_verti|2014-03-23 20:55|0|0|"No intentes decir que cometi un delito, al decir una mentira se puede arriesgar cometer uno peor que un delito."||||"447823964090277888"|https://twitter.com/o_verti/status/447823964090277888
AlanKilzi1|2014-03-06 05:21|0|0|"@elielcohensa no papu eso es la lepra hace dos partidos verti era el peor dt ahora ganan y es pep guardiola dejense de joder"||@elielcohensa||"441428222434377728"|https://twitter.com/AlanKilzi1/status/441428222434377728
